"id";"area_min";"area_max";"layer_min";"layer_max";"company_id/id"
"__export__.delivery_time_standard_1";0;1;0;1;"base.main_company"
"__export__.delivery_time_standard_2";0;1;1;2;"base.main_company"
"__export__.delivery_time_standard_3";0;1;3;4;"base.main_company"
"__export__.delivery_time_standard_4";0;1;5;6;"base.main_company"
"__export__.delivery_time_standard_5";0;0.5;7;8;"base.main_company"
"__export__.delivery_time_standard_6";0;0.5;9;10;"base.main_company"
"__export__.delivery_time_standard_7";0;0.5;11;999;"base.main_company"
"__export__.delivery_time_standard_8";1;3;0;1;"base.main_company"
"__export__.delivery_time_standard_9";1;3;1;2;"base.main_company"
"__export__.delivery_time_standard_10";1;3;2;4;"base.main_company"
"__export__.delivery_time_standard_11";1;3;4;6;"base.main_company"
"__export__.delivery_time_standard_12";0.5;3;6;8;"base.main_company"
"__export__.delivery_time_standard_13";0.5;3;8;10;"base.main_company"
"__export__.delivery_time_standard_14";0.5;3;10;999;"base.main_company"
"__export__.delivery_time_standard_15";3;10;1;1;"base.main_company"
"__export__.delivery_time_standard_16";3;10;1;2;"base.main_company"
"__export__.delivery_time_standard_17";3;10;2;4;"base.main_company"
"__export__.delivery_time_standard_18";3;10;4;6;"base.main_company"
"__export__.delivery_time_standard_19";3;10;6;8;"base.main_company"
"__export__.delivery_time_standard_20";3;10;8;10;"base.main_company"
"__export__.delivery_time_standard_21";3;10;10;999;"base.main_company"
"__export__.delivery_time_standard_22";10;20;0;1;"base.main_company"
"__export__.delivery_time_standard_23";10;20;1;2;"base.main_company"
"__export__.delivery_time_standard_24";10;20;2;999;"base.main_company"
