"id","code","name"
"mtlcs_all.mark_mark_001","rohs","RoHS"
"mtlcs_all.mark_mark_002","static_free","防静电标记"
"mtlcs_all.mark_mark_003","94v","94V-0"
"mtlcs_all.mark_mark_004","fn","档案号"
"mtlcs_all.mark_mark_005","batch_number","批次号"
"mtlcs_all.mark_mark_006","customer","客户标记"
"mtlcs_all.mark_mark_007","part number","零件号"
"mtlcs_all.mark_mark_008","md_wy","制造日期(周/年)"
"mtlcs_all.mark_mark_009","lead_free","无铅标记"
"mtlcs_all.mark_mark_010","md_yw","制造日期(年/周)"
mtlcs_all.mark_mark_011,md_ymd,制造日期年月日
"mtlcs_all.mark_mark_012","self_company","本公司标记"
mtlcs_all.mark_mark_013,md_mdy,制造日期月日年
"mtlcs_all.mark_mark_014","version","版本号"
"mtlcs_all.mark_mark_015","ul","UL标记"
"mtlcs_all.mark_mark_016","cqc","CQC"
"mtlcs_all.mark_mark_017","sequence","序列号"
"mtlcs_all.mark_mark_018","customer_ul","客户UL标记"
