"id","name","code"
"mtlcs_all.wc_001","内层涂覆","WK98"
"mtlcs_all.wc_002","化学清洗","WK99"
"mtlcs_all.wc_003","钻定位孔","WK100"
"mtlcs_all.wc_004","内层曝光","WK101"
"mtlcs_all.wc_005","内层检验","WK102"
"mtlcs_all.wc_006","内层蚀刻","WK103"
"mtlcs_all.wc_007","钻靶孔","WK104"
"mtlcs_all.wc_008","蚀刻检验","WK105"
"mtlcs_all.wc_009","黑化","WK106"
"mtlcs_all.wc_010","黑化检验","W01"
"mtlcs_all.wc_011","层压","W02"
"mtlcs_all.wc_012","去黑化","W03"
"mtlcs_all.wc_013","层压后表面处理","W05"
"mtlcs_all.wc_014","钻孔(盘中孔)","W07"
"mtlcs_all.wc_015","多层沉铜(盘中孔)","W09"
"mtlcs_all.wc_016","堵孔(盘中孔)","W100"
"mtlcs_all.wc_017","固化(盘中孔)","W102"
"mtlcs_all.wc_018","打磨(盘中孔)","W104"
"mtlcs_all.wc_019","堵孔检验(盘中孔)","W106"
"mtlcs_all.wc_020","双面沉铜(盘中孔)","W108"
"mtlcs_all.wc_021","钻孔","W11"
"mtlcs_all.wc_022","铣槽/孔","W13"
"mtlcs_all.wc_023","沉铜加厚","W15"
"mtlcs_all.wc_024","外层涂覆","W17"
"mtlcs_all.wc_025","外层曝光","W19"
"mtlcs_all.wc_026","外层检验","W22"
"mtlcs_all.wc_027","镀金","W24"
"mtlcs_all.wc_028","铣槽/半孔","W26"
"mtlcs_all.wc_029","去膜蚀刻","W28"
"mtlcs_all.wc_030","外蚀检验","W30"
"mtlcs_all.wc_031","丝印阻焊","W32"
"mtlcs_all.wc_032","曝光阻焊","W34"
"mtlcs_all.wc_033","阻焊检验","W35"
"mtlcs_all.wc_034","二次钻孔","W36"
"mtlcs_all.wc_035","镀金手指","W37"
"mtlcs_all.wc_036","热风整平","W38"
"mtlcs_all.wc_037","化学镍金","W40"
"mtlcs_all.wc_038","涂层检验","W42"
"mtlcs_all.wc_039","丝印字符","W44"
"mtlcs_all.wc_040","铣边框","W45"
"mtlcs_all.wc_041","外形加工","W47"
"mtlcs_all.wc_042","测试","W49"
"mtlcs_all.wc_043","表面涂层","W51"
"mtlcs_all.wc_044","成品检验","W53"
"mtlcs_all.wc_045","包装入库","W55"
"mtlcs_all.wc_046","丝印兰胶","W57"
"mtlcs_all.wc_047","镀金去膜","W59"
"mtlcs_all.wc_048","蚀刻光板","W62"
"mtlcs_all.wc_049","酸洗","W65"
"mtlcs_all.wc_050","铜皮做图形","W67"
"mtlcs_all.wc_051","外层图形","W69"
"mtlcs_all.wc_052","堵孔","W75"
"mtlcs_all.wc_053","压合","W78"
"mtlcs_all.wc_054","第一次印湿膜","W80"
"mtlcs_all.wc_055","曝光显影","W82"
"mtlcs_all.wc_056","第二次印湿膜","W84"
"mtlcs_all.wc_057","贴干膜","W86"
"mtlcs_all.wc_058","撕蓝胶","W88"
"mtlcs_all.wc_059","表面微蚀","W90"
"mtlcs_all.wc_060","微蚀减薄","W92"
"mtlcs_all.wc_061","铜皮蚀刻","W94"
"mtlcs_all.wc_062","表面电镀","W95"
"mtlcs_all.wc_063","控深钻孔","W97"
"mtlcs_all.wc_064","检验","W99"
"mtlcs_all.wc_065","蚀刻去膜","WK107"
"mtlcs_all.wc_066","AOI","W04"
"mtlcs_all.wc_067","去膜(删除)","W06"
"mtlcs_all.wc_068","第二次测试","W08"
"mtlcs_all.wc_069","丝印白油","W10"
"mtlcs_all.wc_070","字符曝光","W101"
"mtlcs_all.wc_071","镀锡","W103"
"mtlcs_all.wc_072","V-CUT","W105"
"mtlcs_all.wc_073","后固化","W107"
"mtlcs_all.wc_074","斜边","W12"
"mtlcs_all.wc_075","字符检验","W14"
"mtlcs_all.wc_076","丝印碳油","W16"
"mtlcs_all.wc_077","激光钻孔","W18"
"mtlcs_all.wc_078","恒流源测试","W20"
"mtlcs_all.wc_079","丝印涂覆","W21"
"mtlcs_all.wc_080","工程报废","W23"
"mtlcs_all.wc_081","压板翘","W25"
"mtlcs_all.wc_082","光固化","W27"
"mtlcs_all.wc_083","等离子处理","W29"
"mtlcs_all.wc_084","烘烤","W31"
"mtlcs_all.wc_085","贴膜","W33"
"mtlcs_all.wc_086","锣PP","W39"
"mtlcs_all.wc_087","层压前处理","W41"
"mtlcs_all.wc_088","圆角","W43"
"mtlcs_all.wc_089","清洗","W46"
"mtlcs_all.wc_090","盘中孔曝光","W48"
"mtlcs_all.wc_091","盘中孔镀孔","W50"
"mtlcs_all.wc_092","去膜","W52"
"mtlcs_all.wc_093","电阻测试","W54"
"mtlcs_all.wc_094","铣夹边","W56"
"mtlcs_all.wc_095","除钯","W58"
"mtlcs_all.wc_096","高压测试","W61"
"mtlcs_all.wc_097","拉丝","W63"
"mtlcs_all.wc_098","撕铜皮","W66"
"mtlcs_all.wc_099","除胶渣","W68"
"mtlcs_all.wc_100","打印字符","w74"
"mtlcs_all.wc_101","外协加工","W77"
