"id","attribute_id/id","name","code","sequence"
"mtlcs_all.product_attribute_value_001","mtlcs_all.product_attribute_001","Rogers5880","rogers5880",
"mtlcs_all.product_attribute_value_002","mtlcs_all.product_attribute_001","陶瓷板","ceramic_base",
"mtlcs_all.product_attribute_value_003","mtlcs_all.product_attribute_001","铝芯板","al_core",
"mtlcs_all.product_attribute_value_004","mtlcs_all.product_attribute_001","S1000-2 7628","s1000_2_7628",
"mtlcs_all.product_attribute_value_005","mtlcs_all.product_attribute_001","S1000-2 1080","s1000_2_1080",
"mtlcs_all.product_attribute_value_006","mtlcs_all.product_attribute_001","S1000-2 106","s1000_2_106",
"mtlcs_all.product_attribute_value_007","mtlcs_all.product_attribute_001","S1000-2 3313","s1000_2_3313",
"mtlcs_all.product_attribute_value_008","mtlcs_all.product_attribute_001","S1000-2 2116","s1000_2_2116",
"mtlcs_all.product_attribute_value_009","mtlcs_all.product_attribute_001","聚酰亚胺","polyimide",
"mtlcs_all.product_attribute_value_010","mtlcs_all.product_attribute_001","S7438","s7438",
"mtlcs_all.product_attribute_value_011","mtlcs_all.product_attribute_001","铝基板(进口)","al_base_imported",
"mtlcs_all.product_attribute_value_012","mtlcs_all.product_attribute_001","AL-Base","al_base",
"mtlcs_all.product_attribute_value_013","mtlcs_all.product_attribute_001","ptfe","ptfe",
"mtlcs_all.product_attribute_value_014","mtlcs_all.product_attribute_001","arlon450","arlon450",
"mtlcs_all.product_attribute_value_015","mtlcs_all.product_attribute_001","Rogers4350","rogers4350",
"mtlcs_all.product_attribute_value_016","mtlcs_all.product_attribute_001","Rogers4003","rogers4003",
"mtlcs_all.product_attribute_value_017","mtlcs_all.product_attribute_001","铝基板(国产)","al_base_location",
"mtlcs_all.product_attribute_value_018","mtlcs_all.product_attribute_001","FR-4IT158","fr_4it158",
"mtlcs_all.product_attribute_value_019","mtlcs_all.product_attribute_001","FR-4IT180","fr_4it180",
"mtlcs_all.product_attribute_value_020","mtlcs_all.product_attribute_001","FR-4TG170","fr_4tg170",
"mtlcs_all.product_attribute_value_021","mtlcs_all.product_attribute_001","FR-4S1000-2","fr_4s1000-2",
"mtlcs_all.product_attribute_value_022","mtlcs_all.product_attribute_001","FR-4S1141","fr_4s1141",
"mtlcs_all.product_attribute_value_023","mtlcs_all.product_attribute_001","FR-4S1000H","fr_4s1000h",
"mtlcs_all.product_attribute_value_024","mtlcs_all.product_attribute_001","FR-4S1165","fr_4s1165",
"mtlcs_all.product_attribute_value_025","mtlcs_all.product_attribute_001","CEM-3","cem_3",
"mtlcs_all.product_attribute_value_026","mtlcs_all.product_attribute_001","FR-4S1155","fr_4s1155",
"mtlcs_all.product_attribute_value_027","mtlcs_all.product_attribute_001","FR-4","fr_4",
,,,,
"mtlcs_all.product_attribute_value_027","mtlcs_all.product_attribute_004","太阳白字","sun_white",
"mtlcs_all.product_attribute_value_028","mtlcs_all.product_attribute_004","蓝色","blue",
"mtlcs_all.product_attribute_value_029","mtlcs_all.product_attribute_004","绿色","green",
"mtlcs_all.product_attribute_value_030","mtlcs_all.product_attribute_004","黑色","black",
"mtlcs_all.product_attribute_value_031","mtlcs_all.product_attribute_004","黄色","yellow",
"mtlcs_all.product_attribute_value_032","mtlcs_all.product_attribute_004","红色","red",
"mtlcs_all.product_attribute_value_033","mtlcs_all.product_attribute_004","白色","whhite",

"mtlcs_all.product_attribute_value_034","mtlcs_all.product_attribute_002","太阳绿油（浅绿）",,
"mtlcs_all.product_attribute_value_035","mtlcs_all.product_attribute_002","绿油.",,
"mtlcs_all.product_attribute_value_036","mtlcs_all.product_attribute_002","浅绿油.",,
"mtlcs_all.product_attribute_value_037","mtlcs_all.product_attribute_002","绿油",,
"mtlcs_all.product_attribute_value_038","mtlcs_all.product_attribute_002","太阳黑油",,
"mtlcs_all.product_attribute_value_039","mtlcs_all.product_attribute_002","太阳哑黑",,
"mtlcs_all.product_attribute_value_040","mtlcs_all.product_attribute_002","紫色",,
"mtlcs_all.product_attribute_value_041","mtlcs_all.product_attribute_002","棕色",,
"mtlcs_all.product_attribute_value_042","mtlcs_all.product_attribute_002","无印刷",,
"mtlcs_all.product_attribute_value_043","mtlcs_all.product_attribute_002","哑光墨绿油",,
"mtlcs_all.product_attribute_value_044","mtlcs_all.product_attribute_002","蓝油",,
"mtlcs_all.product_attribute_value_045","mtlcs_all.product_attribute_002","软板专用油",,
"mtlcs_all.product_attribute_value_046","mtlcs_all.product_attribute_002","荧光绿油",,
"mtlcs_all.product_attribute_value_047","mtlcs_all.product_attribute_002","黑油",,
"mtlcs_all.product_attribute_value_048","mtlcs_all.product_attribute_002","哑光黑油",,
"mtlcs_all.product_attribute_value_049","mtlcs_all.product_attribute_002","哑光蓝油",,
"mtlcs_all.product_attribute_value_050","mtlcs_all.product_attribute_002","黄油",,
"mtlcs_all.product_attribute_value_051","mtlcs_all.product_attribute_002","红油",,
"mtlcs_all.product_attribute_value_052","mtlcs_all.product_attribute_002","哑光绿油",,
"mtlcs_all.product_attribute_value_053","mtlcs_all.product_attribute_002","绿油+蓝油",,
"mtlcs_all.product_attribute_value_054","mtlcs_all.product_attribute_002","绿油+白油",,
"mtlcs_all.product_attribute_value_055","mtlcs_all.product_attribute_002","白油",,
"mtlcs_all.product_attribute_value_056","mtlcs_all.product_attribute_002","白油+蓝油",,
"mtlcs_all.product_attribute_value_057","mtlcs_all.product_attribute_002","无卤素绿油",,
"mtlcs_all.product_attribute_value_058","mtlcs_all.product_attribute_002","太阳绿油",,
"mtlcs_all.product_attribute_value_059","mtlcs_all.product_attribute_002","太阳白油",,
"mtlcs_all.product_attribute_value_060","mtlcs_all.product_attribute_002","哑光墨绿色（黄）",,
"mtlcs_all.product_attribute_value_061","mtlcs_all.product_attribute_002","哑光墨绿色（绿）",,

"mtlcs_all.product_attribute_value_062","mtlcs_all.product_attribute_003","DSR-18PV","dsr_18pv",
"mtlcs_all.product_attribute_value_063","mtlcs_all.product_attribute_003","RT-1004G","rt_1004g",
"mtlcs_all.product_attribute_value_064","mtlcs_all.product_attribute_003","RS-2000 11GL","rs_2000_11gl",
"mtlcs_all.product_attribute_value_065","mtlcs_all.product_attribute_003","DSR-18BKA","dsr_18bka",
"mtlcs_all.product_attribute_value_066","mtlcs_all.product_attribute_003","RT-1006GA","rt_1006ga",
"mtlcs_all.product_attribute_value_067","mtlcs_all.product_attribute_003","PSR-2000 CE880E","psr_2000_ce880e",
"mtlcs_all.product_attribute_value_068","mtlcs_all.product_attribute_003","PSR-2000 ME8","psr_2000_me8",
"mtlcs_all.product_attribute_value_069","mtlcs_all.product_attribute_003","DSR-18G4","dsr_18g4",
"mtlcs_all.product_attribute_value_070","mtlcs_all.product_attribute_003","DSR-18BK","dsr_18bk",
"mtlcs_all.product_attribute_value_071","mtlcs_all.product_attribute_003","DSR-18BKMQ","dsr_18bkmq",
"mtlcs_all.product_attribute_value_072","mtlcs_all.product_attribute_003","DSR-18BU","dsr_18bu",
"mtlcs_all.product_attribute_value_073","mtlcs_all.product_attribute_003","DSR-18BUM","dsr_18bum",
"mtlcs_all.product_attribute_value_074","mtlcs_all.product_attribute_003","DSR-18BY","dsr_18by",
"mtlcs_all.product_attribute_value_075","mtlcs_all.product_attribute_003","DSR-18FR","dsr_18fr",
"mtlcs_all.product_attribute_value_076","mtlcs_all.product_attribute_003","DSR-18G1M","dsr_18g1m",
"mtlcs_all.product_attribute_value_077","mtlcs_all.product_attribute_003","DSR-18G2","dsr_18g2",
"mtlcs_all.product_attribute_value_078","mtlcs_all.product_attribute_003","DSR-18G4;DSR-18BU","dsr_18g4_dsr-18bu",
"mtlcs_all.product_attribute_value_079","mtlcs_all.product_attribute_003","DSR-18G4；DSR-18W","dsr_18g4_dsr-18w",
"mtlcs_all.product_attribute_value_080","mtlcs_all.product_attribute_003","DSR-18GYF","dsr_18gyf",
"mtlcs_all.product_attribute_value_081","mtlcs_all.product_attribute_003","DSR-18W","dsr_18w",
"mtlcs_all.product_attribute_value_082","mtlcs_all.product_attribute_003","DSR-18W;DSR-18BU","dsr_18w_dsr-18bu",
"mtlcs_all.product_attribute_value_083","mtlcs_all.product_attribute_003","PSR-2000KX700G","psr_2000kx700g",
"mtlcs_all.product_attribute_value_084","mtlcs_all.product_attribute_003","PSR-2000LF03HF","psr_2000lf03hf",
"mtlcs_all.product_attribute_value_085","mtlcs_all.product_attribute_003","PSR-4000G23K","psr_4000g23k",
"mtlcs_all.product_attribute_value_086","mtlcs_all.product_attribute_003","PSR-4000WT03","psr_4000wt03",
"mtlcs_all.product_attribute_value_087","mtlcs_all.product_attribute_003","PSR-9000FLX501","psr_9000flx501",
"mtlcs_all.product_attribute_value_088","mtlcs_all.product_attribute_003","RS2000 1GL","rs2000 1gl",
"mtlcs_all.product_attribute_value_089","mtlcs_all.product_attribute_003","RT-100MBY5","rt_100mby5",
"mtlcs_all.product_attribute_value_090","mtlcs_all.product_attribute_003","RT-MBY5","rt_mby5",
"mtlcs_all.product_attribute_value_091","mtlcs_all.product_attribute_003","棕化+RT100M4GW","black_rt100m4gw",

"mtlcs_all.product_attribute_value_092","mtlcs_all.product_attribute_005","太阳油墨",,
"mtlcs_all.product_attribute_value_093","mtlcs_all.product_attribute_005","客供油墨",,
