"id","code","name"
"mtlcs_all.special_technic_001","step_edage","沉边"
"mtlcs_all.special_technic_002","resin_plug_hole","树脂塞孔"
"mtlcs_all.special_technic_003","hdi","HDI"
"mtlcs_all.special_technic_004","control_deep_hole","控深钻孔"
"mtlcs_all.special_technic_005","via_in_pad","盘中孔"
"mtlcs_all.special_technic_006","thick_au","厚金"
"mtlcs_all.special_technic_007","long_short_gf","长短金手指"
"mtlcs_all.special_technic_008","none_spaciel","无特殊工艺"
"mtlcs_all.special_technic_009","impedance_test","阻抗测试"
"mtlcs_all.special_technic_010","buried_blind","盲埋孔工艺"
"mtlcs_all.special_technic_011","half_slot","半槽工艺"
"mtlcs_all.special_technic_012","half_hole","半孔工艺"
"mtlcs_all.special_technic_013","cu_bigger","铜厚>2OZ"
"mtlcs_all.special_technic_014","rigid_flexible","刚柔结合板"
"mtlcs_all.special_technic_015","half_through_hole","半通孔"
"mtlcs_all.special_technic_016","pad_heave","焊盘凸高"
"mtlcs_all.special_technic_017","ck_hole","沉孔"
"mtlcs_all.special_technic_018","plated_edage","金属化包边"
"mtlcs_all.special_technic_019","al_matrial","铝基板"
"mtlcs_all.special_technic_020","experiment","实验板"
"mtlcs_all.special_technic_021","blue_colloid","印蓝胶"
"mtlcs_all.special_technic_022","impedance_control","阻抗控制"
"mtlcs_all.special_technic_023","carbon_oil","印碳油"
"mtlcs_all.special_technic_024","mix_material","混压"
"mtlcs_all.special_technic_025","taper_hole","锥型孔"
"mtlcs_all.special_technic_026","microwave","微波板"
"mtlcs_all.special_technic_027","halogen_free","无卤素板"
"mtlcs_all.special_technic_028","gap_gf","间断金手指"
"mtlcs_all.special_technic_029","press_hole","压接孔"
"mtlcs_all.special_technic_030","back_hole","背钻工艺"
"mtlcs_all.special_technic_031","step_hole","台阶孔"
"mtlcs_all.special_technic_032","cu_block_hole","铜浆塞孔"
"mtlcs_all.special_technic_033","soft_extend","软板加补强"
"mtlcs_all.special_technic_034","ag_block_hole","银浆塞孔"

