"id","name","code","workcenter_id/id","technic_id/id"
"mtlcs_all.technic_attribute_001","V-CUT","v_cut",,"mtlcs_all.process_technic_003",
"mtlcs_all.technic_attribute_002","无","no_sahpe",,"mtlcs_all.process_technic_003",
"mtlcs_all.technic_attribute_003","冲压","punch ",,"mtlcs_all.process_technic_003",
"mtlcs_all.technic_attribute_004","数控铣","rout",,"mtlcs_all.process_technic_003",
,,,,
"mtlcs_all.technic_attribute_005","无","no_surface_treatment",,"mtlcs_all.process_technic_001"
mtlcs_all.technic_attribute_006,镀金,plate_a2u,,mtlcs_all.process_technic_001
mtlcs_all.technic_attribute_007,全板镀镍/金,full_plate_a2u_n2i,,mtlcs_all.process_technic_001
mtlcs_all.technic_attribute_008,沉银,shen_ag,,mtlcs_all.process_technic_001
mtlcs_all.technic_attribute_009,沉锡,shen_sn,,mtlcs_all.process_technic_001
"mtlcs_all.technic_attribute_010","全板镀镍/金+OSP","full_plate_ni_au_osp",,"mtlcs_all.process_technic_001"
mtlcs_all.technic_attribute_011,化学镍金+选择性镀金,shen_ni_au_part_plate_a2u,,mtlcs_all.process_technic_001
"mtlcs_all.technic_attribute_012","局部镀镍/金+OSP","part_au_osp",,"mtlcs_all.process_technic_001"
mtlcs_all.technic_attribute_013,有铅喷锡,lead_sn,,mtlcs_all.process_technic_001
mtlcs_all.technic_attribute_014,有铅喷锡+选择性镀金,lead_sn_part_plate_a2u,,mtlcs_all.process_technic_001
mtlcs_all.technic_attribute_015,局部镀镍/金+化学镍金,local_n2i_a2u_and_shen_ni_au,,mtlcs_all.process_technic_001
"mtlcs_all.technic_attribute_016","镀银","plate_ag",,"mtlcs_all.process_technic_001"
mtlcs_all.technic_attribute_017,化学镍金,shen_ni_au,,mtlcs_all.process_technic_001
"mtlcs_all.technic_attribute_018","化学镍金+OSP","shen_ni_au_osp",,"mtlcs_all.process_technic_001"
mtlcs_all.technic_attribute_019,局部镀镍/金+无铅喷锡,local_n2i_a2u_and_lead_sn,,mtlcs_all.process_technic_001
mtlcs_all.technic_attribute_020,无铅喷锡,lead_free_sn,,mtlcs_all.process_technic_001
"mtlcs_all.technic_attribute_021","OSP","osp",,"mtlcs_all.process_technic_001"


"mtlcs_all.technic_attribute_027","通用测试","general_test",,"mtlcs_all.process_technic_002"
"mtlcs_all.technic_attribute_028","专用测试","special_test",,"mtlcs_all.process_technic_002"
"mtlcs_all.technic_attribute_029","飞针测试","flying_test",,"mtlcs_all.process_technic_002"
"mtlcs_all.technic_attribute_022","抽测","part_test",,"mtlcs_all.process_technic_002"
"mtlcs_all.technic_attribute_023","无测试","no_test",,"mtlcs_all.process_technic_002"

"mtlcs_all.technic_attribute_024","电感测试","inductance_test",,"mtlcs_all.process_technic_006"
"mtlcs_all.technic_attribute_025","电阻测试","resistance_test",,"mtlcs_all.process_technic_006"
"mtlcs_all.technic_attribute_026","耐高压测试","high_voltage_test",,"mtlcs_all.process_technic_006"
"mtlcs_all.technic_attribute_127","高低温测试","temperature_test",,"mtlcs_all.process_technic_006"
"mtlcs_all.technic_attribute_128","其他","other_function_test",,"mtlcs_all.process_technic_006"

"mtlcs_all.technic_attribute_030","阻焊类型","solder_type",,"mtlcs_all.process_technic_004"
"mtlcs_all.technic_attribute_031","过孔阻焊","via_solder_type",,"mtlcs_all.process_technic_004"
"mtlcs_all.technic_attribute_032","字符类型","legend_type",,"mtlcs_all.process_technic_005"

"mtlcs_all.technic_attribute_033","真空","vacuum_bag",,"mtlcs_all.process_technic_007"
"mtlcs_all.technic_attribute_034","铝箔","al_foil",,"mtlcs_all.process_technic_007"
"mtlcs_all.technic_attribute_035","PP袋","pp_bag",,"mtlcs_all.process_technic_007"
"mtlcs_all.technic_attribute_036","内包装","packing_inner",,

"mtlcs_all.technic_attribute_037","公司标准","self_bag",,"mtlcs_all.process_technic_008"
"mtlcs_all.technic_attribute_038","中性包装","mid_bag",,"mtlcs_all.process_technic_008"
"mtlcs_all.technic_attribute_039","客户指定包装","customer_bag",,"mtlcs_all.process_technic_008"

