"id","name","code","attribute_id/id"
"mtlcs_all.technic_tag_001","30度","angle30","mtlcs_all.technic_attribute_001"
"mtlcs_all.technic_tag_002","45度","angle45","mtlcs_all.technic_attribute_001"
"mtlcs_all.technic_tag_003","60度","angle60","mtlcs_all.technic_attribute_001"

"mtlcs_all.technic_tag_004","双面阻焊","double","mtlcs_all.technic_attribute_030"
"mtlcs_all.technic_tag_005","底层阻焊顶层整版开窗",,"mtlcs_all.technic_attribute_030"
"mtlcs_all.technic_tag_006","顶层阻焊底层整版开窗",,"mtlcs_all.technic_attribute_030"
"mtlcs_all.technic_tag_007","底层阻焊顶层覆盖",,"mtlcs_all.technic_attribute_030"
"mtlcs_all.technic_tag_008","无阻焊","no_solder","mtlcs_all.technic_attribute_030"

"mtlcs_all.technic_tag_009","双面开窗过线孔",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_010","根据文件",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_011","覆盖塞孔",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_012","部分覆盖",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_013","不覆盖",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_014","部分塞孔",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_015","无",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_016","覆盖",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_017","覆盖焊盘不覆盖",,"mtlcs_all.technic_attribute_031"
"mtlcs_all.technic_tag_018","单面开窗过线孔",,"mtlcs_all.technic_attribute_031"

"mtlcs_all.technic_tag_019","单面字符",,"mtlcs_all.technic_attribute_032"
"mtlcs_all.technic_tag_020","双面字符",,"mtlcs_all.technic_attribute_032"
"mtlcs_all.technic_tag_021","无字符",,"mtlcs_all.technic_attribute_032"

"mtlcs_all.technic_tag_022","干燥剂",,"mtlcs_all.technic_attribute_036"
"mtlcs_all.technic_tag_023","湿度卡",,"mtlcs_all.technic_attribute_036"
