'id';'code';'name';'parent_id/id'
'material.product_category_finish';;'成品';
'material.product_category_material';;'物料';
'material.product_category_material_1';'01';'生产主料';'material.product_category_material'
'material.product_category_material_1_1';'01';'板料类';'material.product_category_material_1'
'material.product_category_material_1_1_1';'01';'s1141';'material.product_category_material_1_1'
'material.product_category_material_1_1_10';'10';'P级板FR-4 S1141';'material.product_category_material_1_1'
'material.product_category_material_1_1_11';'11';'聚鼎铝基板PTTC（（高导热铝基板））';'material.product_category_material_1_1'
'material.product_category_material_1_1_12';'12';'国产铝基板';'material.product_category_material_1_1'
'material.product_category_material_1_1_13';'13';'铁基板CFAF-01';'material.product_category_material_1_1'
'material.product_category_material_1_1_14';'14';'IT150DATC';'material.product_category_material_1_1'
'material.product_category_material_1_1_15';'15';'IT158';'material.product_category_material_1_1'
'material.product_category_material_1_1_16';'16';'IT180A';'material.product_category_material_1_1'
'material.product_category_material_1_1_17';'17';'Rogers4003C';'material.product_category_material_1_1'
'material.product_category_material_1_1_18';'18';'Rogers4350B';'material.product_category_material_1_1'
'material.product_category_material_1_1_19';'19';'Rogers5880';'material.product_category_material_1_1'
'material.product_category_material_1_1_2';'02';'CEM-3  S2130';'material.product_category_material_1_1'
'material.product_category_material_1_1_20';'20';'Rogers4233';'material.product_category_material_1_1'
'material.product_category_material_1_1_21';'21';'RogersTMM10';'material.product_category_material_1_1'
'material.product_category_material_1_1_22';'22';'RogersTMM4';'material.product_category_material_1_1'
'material.product_category_material_1_1_23';'23';'Rogers3003';'material.product_category_material_1_1'
'material.product_category_material_1_1_24';'24';'TaconicTLA-6';'material.product_category_material_1_1'
'material.product_category_material_1_1_25';'25';'TaconicTLC-32';'material.product_category_material_1_1'
'material.product_category_material_1_1_26';'26';'TaconicTLX-6';'material.product_category_material_1_1'
'material.product_category_material_1_1_27';'27';'TaconicTLX-7';'material.product_category_material_1_1'
'material.product_category_material_1_1_28';'28';'TaconicTLX-8';'material.product_category_material_1_1'
'material.product_category_material_1_1_29';'29';'TaconicTRF-45';'material.product_category_material_1_1'
'material.product_category_material_1_1_3';'03';'CEM-3 ST210';'material.product_category_material_1_1'
'material.product_category_material_1_1_30';'30';'TaconicTSM-30';'material.product_category_material_1_1'
'material.product_category_material_1_1_31';'31';'TaconicTLX-9';'material.product_category_material_1_1'
'material.product_category_material_1_1_32';'32';'TaconicTLY-5';'material.product_category_material_1_1'
'material.product_category_material_1_1_33';'33';'TaconicTLK-8';'material.product_category_material_1_1'
'material.product_category_material_1_1_34';'34';'TaconicRF-35A2';'material.product_category_material_1_1'
'material.product_category_material_1_1_35';'35';'TaconicRF-60';'material.product_category_material_1_1'
'material.product_category_material_1_1_36';'36';'TaconicRF-30';'material.product_category_material_1_1'
'material.product_category_material_1_1_37';'37';'TaconicRF-35';'material.product_category_material_1_1'
'material.product_category_material_1_1_39';'39';'TaconicLCAM';'material.product_category_material_1_1'
'material.product_category_material_1_1_4';'04';'FR-4  S1000-2';'material.product_category_material_1_1'
'material.product_category_material_1_1_40';'40';'ArlonTC350L';'material.product_category_material_1_1'
'material.product_category_material_1_1_41';'41';'Arlon25FR';'material.product_category_material_1_1'
'material.product_category_material_1_1_42';'42';'Arlon25N';'material.product_category_material_1_1'
'material.product_category_material_1_1_43';'43';'ArlonAD1000';'material.product_category_material_1_1'
'material.product_category_material_1_1_44';'44';'ArlonAD255A';'material.product_category_material_1_1'
'material.product_category_material_1_1_45';'45';'ArlonAD255C';'material.product_category_material_1_1'
'material.product_category_material_1_1_46';'46';'ArlonAD255L';'material.product_category_material_1_1'
'material.product_category_material_1_1_47';'47';'ArlonAD350A';'material.product_category_material_1_1'
'material.product_category_material_1_1_48';'48';'Arlon250GX';'material.product_category_material_1_1'
'material.product_category_material_1_1_49';'49';'Arlon55NT';'material.product_category_material_1_1'
'material.product_category_material_1_1_5';'05';'FR-4  S1000H';'material.product_category_material_1_1'
'material.product_category_material_1_1_50';'50';'Arlon85N';'material.product_category_material_1_1'
'material.product_category_material_1_1_51';'51';'Arlon870B';'material.product_category_material_1_1'
'material.product_category_material_1_1_52';'52';'ArlonAD450A';'material.product_category_material_1_1'
'material.product_category_material_1_1_53';'53';'ArlonAD450L';'material.product_category_material_1_1'
'material.product_category_material_1_1_54';'54';'ArlonDiclad527';'material.product_category_material_1_1'
'material.product_category_material_1_1_55';'55';'ArlonDiclad880';'material.product_category_material_1_1'
'material.product_category_material_1_1_56';'56';'ArlonGX';'material.product_category_material_1_1'
'material.product_category_material_1_1_57';'57';'ArlonTC600L';'material.product_category_material_1_1'
'material.product_category_material_1_1_58';'58';'Arlon92ml';'material.product_category_material_1_1'
'material.product_category_material_1_1_59';'59';'ArlonGetek mil200C';'material.product_category_material_1_1'
'material.product_category_material_1_1_6';'06';'FR-4  S1155';'material.product_category_material_1_1'
'material.product_category_material_1_1_60';'60';'陶瓷板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_61';'61';'TaconicTLT-9';'material.product_category_material_1_1'
'material.product_category_material_1_1_62';'62';'isola板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_63';'63';'贝格期铝基板';'material.product_category_material_1_1'
'material.product_category_material_1_1_64';'64';'聚四氟乙烯板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_65';'65';'复合介质板';'material.product_category_material_1_1'
'material.product_category_material_1_1_66';'66';'S1600的板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_67';'67';'ArlonAD255IM';'material.product_category_material_1_1'
'material.product_category_material_1_1_68';'68';'N4380-13';'material.product_category_material_1_1'
'material.product_category_material_1_1_69';'69';'FR-4  S1170';'material.product_category_material_1_1'
'material.product_category_material_1_1_7';'07';'FR-4  S1165';'material.product_category_material_1_1'
'material.product_category_material_1_1_70';'70';'南亚';'material.product_category_material_1_1'
'material.product_category_material_1_1_71';'71';'Rogers3010';'material.product_category_material_1_1'
'material.product_category_material_1_1_72';'72';'RogersRT6035HTC';'material.product_category_material_1_1'
'material.product_category_material_1_1_73';'73';'S1130';'material.product_category_material_1_1'
'material.product_category_material_1_1_74';'74';'FR-4  SH260';'material.product_category_material_1_1'
'material.product_category_material_1_1_75';'75';'FR-4  S1150G';'material.product_category_material_1_1'
'material.product_category_material_1_1_76';'76';'FR-4  S7439';'material.product_category_material_1_1'
'material.product_category_material_1_1_77';'77';'ArlonCLTE-AT';'material.product_category_material_1_1'
'material.product_category_material_1_1_78';'78';'Rogers4360';'material.product_category_material_1_1'
'material.product_category_material_1_1_79';'79';'Rogers3006';'material.product_category_material_1_1'
'material.product_category_material_1_1_8';'08';'FR-4  S7136';'material.product_category_material_1_1'
'material.product_category_material_1_1_80';'80';'TaconicCER-10';'material.product_category_material_1_1'
'material.product_category_material_1_1_81';'81';'S1000-2M';'material.product_category_material_1_1'
'material.product_category_material_1_1_82';'82';'补强板';'material.product_category_material_1_1'
'material.product_category_material_1_1_83';'83';'松下板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_84';'84';'台耀TU872板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_85';'85';'南亚CEM-3板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_86';'86';'聚醚酰亚胺';'material.product_category_material_1_1'
'material.product_category_material_1_1_87';'87';'FR-4  S1190';'material.product_category_material_1_1'
'material.product_category_material_1_1_88';'88';'ST115B ';'material.product_category_material_1_1'
'material.product_category_material_1_1_89';'89';'Rogers3203的板料';'material.product_category_material_1_1'
'material.product_category_material_1_1_9';'09';'FR-4  S7438';'material.product_category_material_1_1'
'material.product_category_material_1_1_90';'90';'S7038';'material.product_category_material_1_1'
'material.product_category_material_1_1_91';'91';'ArlonAD250A的板料';'material.product_category_material_1_1'
'material.product_category_material_1_11';'11';'硅胶';'material.product_category_material_1'
'material.product_category_material_1_11_01';'01';'硅胶';'material.product_category_material_1_11_01'
'material.product_category_material_1_2';'02';'油墨';'material.product_category_material_1'
'material.product_category_material_1_2_1';'01';'字符油墨';'material.product_category_material_1_2'
'material.product_category_material_1_2_1_000';'000';'字符油墨';'material.product_category_material_1_2_1'
'material.product_category_material_1_2_2';'02';'阻焊油墨';'material.product_category_material_1_2'
'material.product_category_material_1_2_2_000';'000';'阻焊油墨';'material.product_category_material_1_2_2'
'material.product_category_material_1_2_3';'03';'线路油墨';'material.product_category_material_1_2'
'material.product_category_material_1_2_3_000';'000';'线路油墨';'material.product_category_material_1_2_3'
'material.product_category_material_1_3';'03';'铜箔';'material.product_category_material_1'
'material.product_category_material_1_3_0';'00';'铜箔';'material.product_category_material_1_3'
'material.product_category_material_1_3_0_000';'000';'铜箔';'material.product_category_material_1_3_0'
'material.product_category_material_1_4';'04';'铝板';'material.product_category_material_1'
'material.product_category_material_1_4_0';'00';'铝板';'material.product_category_material_1_4'
'material.product_category_material_1_4_0_000';'000';'铝板';'material.product_category_material_1_4_0'
'material.product_category_material_1_5';'05';'紫铜';'material.product_category_material_1'
'material.product_category_material_1_5_0';'00';'紫铜';'material.product_category_material_1_5'
'material.product_category_material_1_5_0_000';'000';'紫铜';'material.product_category_material_1_5_0'
'material.product_category_material_1_5_1';'01';'黄铜';'material.product_category_material_1_5'
'material.product_category_material_1_5_1_000';'000';'黄铜';'material.product_category_material_1_5_1'
'material.product_category_material_1_6';'06';'RCC';'material.product_category_material_1'
'material.product_category_material_1_6_0';'00';'RCC';'material.product_category_material_1_6'
'material.product_category_material_1_6_0_000';'000';'RCC';'material.product_category_material_1_6_0'
'material.product_category_material_1_7';'07';'半固化片';'material.product_category_material_1'
'material.product_category_material_1_7_1';'01';'S0165';'material.product_category_material_1_7'
'material.product_category_material_1_7_1_000';'000';'S0165半固化片';'material.product_category_material_1_7_1'
'material.product_category_material_1_7_10';'10';'S0101';'material.product_category_material_1_7'
'material.product_category_material_1_7_10_000';'000';'S0101半固化片';'material.product_category_material_1_7_10'
'material.product_category_material_1_7_11';'11';'SP170G';'material.product_category_material_1_7'
'material.product_category_material_1_7_11_000';'000';'SP170G半固化片';'material.product_category_material_1_7_11'
'material.product_category_material_1_7_12';'12';'ST115B ';'material.product_category_material_1_7'
'material.product_category_material_1_7_12_000';'000';'ST115B 半固化片';'material.product_category_material_1_7_12'
'material.product_category_material_1_7_13';'13';'IT140GBS';'material.product_category_material_1_7'
'material.product_category_material_1_7_13_000';'000';'IT140GBS半固化片';'material.product_category_material_1_7_13'
'material.product_category_material_1_7_14';'14';'SH260';'material.product_category_material_1_7'
'material.product_category_material_1_7_14_000';'000';'SH260半固化片';'material.product_category_material_1_7_14'
'material.product_category_material_1_7_15';'15';' SP120N';'material.product_category_material_1_7'
'material.product_category_material_1_7_15_000';'000';' SP120N半固化片';'material.product_category_material_1_7_15'
'material.product_category_material_1_7_16';'16';'S1150GB';'material.product_category_material_1_7'
'material.product_category_material_1_7_16_000';'000';'S1150GB半固化片';'material.product_category_material_1_7_16'
'material.product_category_material_1_7_17';'17';'S1000';'material.product_category_material_1_7'
'material.product_category_material_1_7_17_000';'000';'S1000半固化片';'material.product_category_material_1_7_17'
'material.product_category_material_1_7_18';'18';'S7439';'material.product_category_material_1_7'
'material.product_category_material_1_7_18_000';'000';'S7439半固化片';'material.product_category_material_1_7_18'
'material.product_category_material_1_7_19';'19';'isola';'material.product_category_material_1_7'
'material.product_category_material_1_7_19_000';'000';'isola半固化片';'material.product_category_material_1_7_19'
'material.product_category_material_1_7_2';'02';'S0401';'material.product_category_material_1_7'
'material.product_category_material_1_7_2_000';'000';'S0401半固化片';'material.product_category_material_1_7_2'
'material.product_category_material_1_7_21';'21';'Rogers4450F';'material.product_category_material_1_7'
'material.product_category_material_1_7_21_000';'000';'Rogers4450F半固化片';'material.product_category_material_1_7_21'
