"id","max_pcs_area","min_pcs_area","value","lead_days","min_one_finger_area","max_one_finger_area","btype","min_hole","max_hole","layer_count","max_layer_qty","max_finger_count","max_db_thick","max_order_area","min_layer_qty","min_finger_count","min_db_thick","min_line_width","min_line_space","min_order_area","active","flayer_count","max_point_count","min_point_count","special_tech_id/id","surface_id/id","method","type","max_au_thick","min_au_thick","cu_thick","max_cu_thick","min_cu_thick","max_ni_thick","min_ni_thick","eval_code"
"__export__.pcb_fee_line_value_1","0.0","0.0","0.0","0","0.0","0.0","","0.0","0.0","0","0","0","0.0","0.0","0","0","0.0","4.0","4.0","0.0","True","0","0.0","0.0","","","固定","线间距费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def fn(pprice,feedic): return   pprice.info_id.min_line_space < 4 and   ( 4 - pprice.info_id.min_line_space ) * 0.3 * feedic['fee_base'] or 0"
"__export__.pcb_fee_arg_base_al_base_001","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","1.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.08"
"__export__.pcb_fee_arg_base_al_base_002","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","1.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.08"
"__export__.pcb_fee_arg_base_al_base_003","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","1.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.08"
"__export__.pcb_fee_arg_base_al_base_004","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","2.0","1.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.1"
"__export__.pcb_fee_arg_base_al_base_005","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","2.0","1.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.1"
"__export__.pcb_fee_arg_base_al_base_006","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","2.0","1.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.1"
"__export__.pcb_fee_arg_base_al_base_007","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","3.0","2.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.11"
"__export__.pcb_fee_arg_base_al_base_008","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","3.0","2.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.11"
"__export__.pcb_fee_arg_base_al_base_009","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","3.0","2.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.11"
"__export__.pcb_fee_arg_base_al_base_010","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","3.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.13"
"__export__.pcb_fee_arg_base_al_base_011","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","3.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.13"
"__export__.pcb_fee_arg_base_al_base_012","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","3.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.13"
"__export__.pcb_fee_arg_base_al_base_013","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","2","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.32"
"__export__.pcb_fee_arg_base_al_base_014","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","2","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.32"
"__export__.pcb_fee_arg_base_al_base_015","0.0","0.0","0.0","0","0.0","0.0","铝基板","0.0","0.0","2","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.32"
"__export__.pcb_fee_arg_base_cu_base_001","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","1.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.08"
"__export__.pcb_fee_arg_base_cu_base_002","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","1.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.08"
"__export__.pcb_fee_arg_base_cu_base_003","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","1.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.08"
"__export__.pcb_fee_arg_base_cu_base_004","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","2.0","1.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.1"
"__export__.pcb_fee_arg_base_cu_base_005","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","2.0","1.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.1"
"__export__.pcb_fee_arg_base_cu_base_006","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","2.0","1.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.1"
"__export__.pcb_fee_arg_base_cu_base_007","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","3.0","2.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.11"
"__export__.pcb_fee_arg_base_cu_base_008","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","3.0","2.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.11"
"__export__.pcb_fee_arg_base_cu_base_009","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","3.0","2.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.11"
"__export__.pcb_fee_arg_base_cu_base_010","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","3.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.13"
"__export__.pcb_fee_arg_base_cu_base_011","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","3.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.13"
"__export__.pcb_fee_arg_base_cu_base_012","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","1","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","3.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.13"
"__export__.pcb_fee_arg_base_cu_base_013","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","2","0","0","0.0","1.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.3) / x.info_id.board_usage_rate +  0.32"
"__export__.pcb_fee_arg_base_cu_base_014","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","2","0","0","0.0","5.0","0","0","0.0","0.0","0.0","1.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1.15) / x.info_id.board_usage_rate +  0.32"
"__export__.pcb_fee_arg_base_cu_base_015","0.0","0.0","0.0","0","0.0","0.0","铜基板","0.0","0.0","2","0","0","0.0","9999.0","0","0","0.0","0.0","0.0","5.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","4.0","0.0","0.0","0.0","def  fn(x):     return (x.material_price * x.info_id.panel_area *1..10) / x.info_id.board_usage_rate +  0.32"
"__export__.pcb_fee_base_flex_001","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","1","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 0.56"
"__export__.pcb_fee_base_flex_002","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","2","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 0.56"
"__export__.pcb_fee_base_flex_003","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","3","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 0.56"
"__export__.pcb_fee_base_flex_004","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","4","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 0.56"
"__export__.pcb_fee_base_flex_005","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","5","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 0.9"
"__export__.pcb_fee_base_flex_006","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","6","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 0.9"
"__export__.pcb_fee_base_flex_007","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","7","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 1.2"
"__export__.pcb_fee_base_flex_008","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","8","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 1.2"
"__export__.pcb_fee_base_flex_009","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","9","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 2"
"__export__.pcb_fee_base_flex_010","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","10","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 2"
"__export__.pcb_fee_base_flex_011","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","11","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 2.4"
"__export__.pcb_fee_base_flex_012","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","12","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 2.4"
"__export__.pcb_fee_base_flex_013","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","13","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 3"
"__export__.pcb_fee_base_flex_014","0.0","0.0","0.0","0","0.0","0.0","刚柔结合板","0.0","0.0","14","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0","def  fn(x):     return x.material_price * x.info_id.panel_area  / x.info_id.board_usage_rate /0.8*1.3 + 3"
"__export__.pcb_fee_base_hid_001","0.0","0.0","0.67","0","0.0","0.0","HDI","0.0","0.0","1","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"__export__.pcb_fee_base_hid_002","0.0","0.0","0.67","0","0.0","0.0","HDI","0.0","0.0","2","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"__export__.pcb_fee_base_hid_003","0.0","0.0","0.67","0","0.0","0.0","HDI","0.0","0.0","3","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","True","0","0.0","0.0","","","固定","基板费","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
