"id","type","value","min_order_area","max_order_area","layer_count","btype"
"__export__.pcb_fee_arg_base_normal_001","基板费",0.12,0,1,1,"普通板"
"__export__.pcb_fee_arg_base_normal_002","基板费",0.1,1,3,1,"普通板"
"__export__.pcb_fee_arg_base_normal_003","基板费",0.1,3,5,1,"普通板"
"__export__.pcb_fee_arg_base_normal_004","基板费",0.08,5,10,1,"普通板"
"__export__.pcb_fee_arg_base_normal_005","基板费",0.08,10,20,1,"普通板"
"__export__.pcb_fee_arg_base_normal_006","基板费",0.08,20,25,1,"普通板"
"__export__.pcb_fee_arg_base_normal_007","基板费",0.08,25,30,1,"普通板"
"__export__.pcb_fee_arg_base_normal_008","基板费",0.08,30,50,1,"普通板"
"__export__.pcb_fee_arg_base_normal_009","基板费",0.08,50,,1,"普通板"
"__export__.pcb_fee_arg_base_normal_010","基板费",0.12,0,1,2,"普通板"
"__export__.pcb_fee_arg_base_normal_011","基板费",0.1,1,3,2,"普通板"
"__export__.pcb_fee_arg_base_normal_012","基板费",0.1,3,5,2,"普通板"
"__export__.pcb_fee_arg_base_normal_013","基板费",0.08,5,10,2,"普通板"
"__export__.pcb_fee_arg_base_normal_014","基板费",0.08,10,20,2,"普通板"
"__export__.pcb_fee_arg_base_normal_015","基板费",0.08,20,25,2,"普通板"
"__export__.pcb_fee_arg_base_normal_016","基板费",0.08,25,30,2,"普通板"
"__export__.pcb_fee_arg_base_normal_017","基板费",0.08,30,50,2,"普通板"
"__export__.pcb_fee_arg_base_normal_018","基板费",0.08,50,,2,"普通板"
"__export__.pcb_fee_arg_base_normal_019","基板费",0.22,0,1,4,"普通板"
"__export__.pcb_fee_arg_base_normal_020","基板费",0.18,1,3,4,"普通板"
"__export__.pcb_fee_arg_base_normal_021","基板费",0.16,3,5,4,"普通板"
"__export__.pcb_fee_arg_base_normal_022","基板费",0.16,5,10,4,"普通板"
"__export__.pcb_fee_arg_base_normal_023","基板费",0.14,10,20,4,"普通板"
"__export__.pcb_fee_arg_base_normal_024","基板费",0.14,20,25,4,"普通板"
"__export__.pcb_fee_arg_base_normal_025","基板费",0.13,25,30,4,"普通板"
"__export__.pcb_fee_arg_base_normal_026","基板费",0.13,30,50,4,"普通板"
"__export__.pcb_fee_arg_base_normal_027","基板费",0.13,50,,4,"普通板"
"__export__.pcb_fee_arg_base_normal_028","基板费",0.38,0,1,6,"普通板"
"__export__.pcb_fee_arg_base_normal_029","基板费",0.32,1,3,6,"普通板"
"__export__.pcb_fee_arg_base_normal_030","基板费",0.26,3,5,6,"普通板"
"__export__.pcb_fee_arg_base_normal_031","基板费",0.26,5,10,6,"普通板"
"__export__.pcb_fee_arg_base_normal_032","基板费",0.22,10,20,6,"普通板"
"__export__.pcb_fee_arg_base_normal_033","基板费",0.22,20,25,6,"普通板"
"__export__.pcb_fee_arg_base_normal_034","基板费",0.18,25,30,6,"普通板"
"__export__.pcb_fee_arg_base_normal_035","基板费",0.18,30,50,6,"普通板"
"__export__.pcb_fee_arg_base_normal_036","基板费",0.18,50,,6,"普通板"
"__export__.pcb_fee_arg_base_normal_037","基板费",0.48,0,1,8,"普通板"
"__export__.pcb_fee_arg_base_normal_038","基板费",0.4,1,3,8,"普通板"
"__export__.pcb_fee_arg_base_normal_039","基板费",0.36,3,5,8,"普通板"
"__export__.pcb_fee_arg_base_normal_040","基板费",0.36,5,10,8,"普通板"
"__export__.pcb_fee_arg_base_normal_041","基板费",0.32,10,20,8,"普通板"
