"id","type","btype","layer_count","value"
"__export__.pcb_fee_eng_001","工程费","普通板",1,300
"__export__.pcb_fee_eng_002","工程费","普通板",2,300
"__export__.pcb_fee_eng_003","工程费","普通板",4,800
"__export__.pcb_fee_eng_004","工程费","普通板",6,1200
"__export__.pcb_fee_eng_005","工程费","普通板",8,1600
"__export__.pcb_fee_eng_006","工程费","普通板",10,2100
"__export__.pcb_fee_eng_007","工程费","普通板",12,2700
"__export__.pcb_fee_eng_008","工程费","普通板",14,3100
"__export__.pcb_fee_eng_009","工程费","普通板",16,4000
"__export__.pcb_fee_eng_010","工程费","普通板",18,5000
"__export__.pcb_fee_eng_011","工程费","普通板",20,6000
"__export__.pcb_fee_eng_012","工程费","普通板",22,7000
"__export__.pcb_fee_eng_013","工程费","普通板",24,8000
"__export__.pcb_fee_eng_014","工程费","铝基板",1,500
"__export__.pcb_fee_eng_015","工程费","铝基板",2,500
"__export__.pcb_fee_eng_016","工程费","铜基板",1,500
"__export__.pcb_fee_eng_017","工程费","铜基板",2,500
"__export__.pcb_fee_eng_018","工程费","罗杰斯板",1,500
"__export__.pcb_fee_eng_019","工程费","罗杰斯板",2,500
"__export__.pcb_fee_eng_020","工程费","罗杰斯板",4,900
"__export__.pcb_fee_eng_021","工程费","PTFE板",1,500
"__export__.pcb_fee_eng_022","工程费","PTFE板",2,500
"__export__.pcb_fee_eng_023","工程费","HDI",1,3300
"__export__.pcb_fee_eng_024","工程费","HDI",2,3300
"__export__.pcb_fee_eng_025","工程费","HDI",3,3300
"__export__.pcb_fee_eng_026","工程费","HDI",4,3300
"__export__.pcb_fee_eng_027","工程费","HDI",5,4500
"__export__.pcb_fee_eng_028","工程费","HDI",6,4500
"__export__.pcb_fee_eng_029","工程费","HDI",7,5500
"__export__.pcb_fee_eng_030","工程费","HDI",8,5500
"__export__.pcb_fee_eng_031","工程费","HDI",9,6500
"__export__.pcb_fee_eng_032","工程费","HDI",10,6500
"__export__.pcb_fee_eng_033","工程费","HDI",11,7100
"__export__.pcb_fee_eng_034","工程费","HDI",12,7100
"__export__.pcb_fee_eng_035","工程费","HDI",13,7500
"__export__.pcb_fee_eng_036","工程费","HDI",14,7500
"__export__.pcb_fee_eng_037","工程费","刚柔结合板",1,2400
"__export__.pcb_fee_eng_038","工程费","刚柔结合板",2,2400
"__export__.pcb_fee_eng_039","工程费","刚柔结合板",3,2400
"__export__.pcb_fee_eng_040","工程费","刚柔结合板",4,2400
"__export__.pcb_fee_eng_041","工程费","刚柔结合板",5,3600
"__export__.pcb_fee_eng_042","工程费","刚柔结合板",6,3600
"__export__.pcb_fee_eng_043","工程费","刚柔结合板",7,4800
"__export__.pcb_fee_eng_044","工程费","刚柔结合板",8,4800
"__export__.pcb_fee_eng_045","工程费","刚柔结合板",9,6900
"__export__.pcb_fee_eng_046","工程费","刚柔结合板",10,6900
"__export__.pcb_fee_eng_047","工程费","刚柔结合板",11,8100
"__export__.pcb_fee_eng_048","工程费","刚柔结合板",12,8100
"__export__.pcb_fee_eng_049","工程费","刚柔结合板",13,9300
"__export__.pcb_fee_eng_050","工程费","刚柔结合板",14,9300
