"id","type","value","min_au_thick","max_au_thick","min_finger_count","max_finger_count"
"__export__.pcb_fee_finger_1_1","金手指费",0.73,0,3.1,0,5
"__export__.pcb_fee_finger_1_2","金手指费",0.86,0,3.1,6,10
"__export__.pcb_fee_finger_1_3","金手指费",1.03,0,3.1,11,15
"__export__.pcb_fee_finger_1_4","金手指费",1.28,0,3.1,16,20
"__export__.pcb_fee_finger_1_5","金手指费",1.52,0,3.1,21,40
"__export__.pcb_fee_finger_1_6","金手指费",1.85,0,3.1,41,60
"__export__.pcb_fee_finger_1_7","金手指费",2.1,0,3.1,61,80
"__export__.pcb_fee_finger_1_8","金手指费",2.17,0,3.1,81,100
"__export__.pcb_fee_finger_1_9","金手指费",2.45,0,3.1,101,120
"__export__.pcb_fee_finger_1_10","金手指费",2.78,0,3.1,121,140
"__export__.pcb_fee_finger_1_11","金手指费",3.07,0,3.1,141,160
"__export__.pcb_fee_finger_1_12","金手指费",3.31,0,3.1,161,180
"__export__.pcb_fee_finger_1_13","金手指费",3.55,0,3.1,181,200
"__export__.pcb_fee_finger_1_14","金手指费",3.79,0,3.1,210,220
"__export__.pcb_fee_finger_1_15","金手指费",4.04,0,3.1,221,240
"__export__.pcb_fee_finger_1_16","金手指费",4.28,0,3.1,241,260
"__export__.pcb_fee_finger_1_17","金手指费",4.52,0,3.1,261,280
"__export__.pcb_fee_finger_1_18","金手指费",4.76,0,3.1,281,300
"__export__.pcb_fee_finger_1_19","金手指费",0.94,3.1,5.1,0,5
"__export__.pcb_fee_finger_1_20","金手指费",1.09,3.1,5.1,6,10
"__export__.pcb_fee_finger_1_21","金手指费",1.31,3.1,5.1,11,15
"__export__.pcb_fee_finger_1_22","金手指费",1.63,3.1,5.1,16,20
"__export__.pcb_fee_finger_1_23","金手指费",1.86,3.1,5.1,21,40
"__export__.pcb_fee_finger_1_24","金手指费",2.23,3.1,5.1,41,60
"__export__.pcb_fee_finger_1_25","金手指费",2.47,3.1,5.1,61,80
"__export__.pcb_fee_finger_1_26","金手指费",2.94,3.1,5.1,81,100
"__export__.pcb_fee_finger_1_27","金手指费",3.23,3.1,5.1,101,120
"__export__.pcb_fee_finger_1_28","金手指费",3.49,3.1,5.1,121,140
"__export__.pcb_fee_finger_1_29","金手指费",3.82,3.1,5.1,141,160
"__export__.pcb_fee_finger_1_30","金手指费",4.1,3.1,5.1,161,180
"__export__.pcb_fee_finger_1_31","金手指费",4.39,3.1,5.1,181,200
"__export__.pcb_fee_finger_1_32","金手指费",4.68,3.1,5.1,210,220
"__export__.pcb_fee_finger_1_33","金手指费",4.97,3.1,5.1,221,240
"__export__.pcb_fee_finger_1_34","金手指费",5.26,3.1,5.1,241,260
"__export__.pcb_fee_finger_1_35","金手指费",5.54,3.1,5.1,261,280
"__export__.pcb_fee_finger_1_36","金手指费",5.83,3.1,5.1,281,300
"__export__.pcb_fee_finger_1_37","金手指费",1.26,5.1,11,0,5
"__export__.pcb_fee_finger_1_38","金手指费",1.48,5.1,11,6,10
"__export__.pcb_fee_finger_1_39","金手指费",1.76,5.1,11,11,15
"__export__.pcb_fee_finger_1_40","金手指费",2.21,5.1,11,16,20
"__export__.pcb_fee_finger_1_41","金手指费",2.62,5.1,11,21,40
"__export__.pcb_fee_finger_1_42","金手指费",3.16,5.1,11,41,60
"__export__.pcb_fee_finger_1_43","金手指费",3.58,5.1,11,61,80
"__export__.pcb_fee_finger_1_44","金手指费",4.02,5.1,11,81,100
"__export__.pcb_fee_finger_1_45","金手指费",4.42,5.1,11,101,120
"__export__.pcb_fee_finger_1_46","金手指费",4.88,5.1,11,121,140
"__export__.pcb_fee_finger_1_47","金手指费",3.54,5.1,11,141,160
"__export__.pcb_fee_finger_1_48","金手指费",6.2,5.1,11,161,180
"__export__.pcb_fee_finger_1_49","金手指费",6.86,5.1,11,181,200
"__export__.pcb_fee_finger_1_50","金手指费",7.52,5.1,11,210,220
"__export__.pcb_fee_finger_1_51","金手指费",8.2,5.1,11,221,240
"__export__.pcb_fee_finger_1_52","金手指费",8.86,5.1,11,241,260
"__export__.pcb_fee_finger_1_53","金手指费",9.54,5.1,11,261,280
"__export__.pcb_fee_finger_1_54","金手指费",10.2,5.1,11,281,300
"__export__.pcb_fee_finger_1_55","金手指费",1.71,11,16,0,5
"__export__.pcb_fee_finger_1_56","金手指费",2.04,11,16,6,10
"__export__.pcb_fee_finger_1_57","金手指费",2.45,11,16,11,15
"__export__.pcb_fee_finger_1_58","金手指费",3.05,11,16,16,20
"__export__.pcb_fee_finger_1_59","金手指费",3.65,11,16,21,40
"__export__.pcb_fee_finger_1_60","金手指费",4.41,11,16,41,60
"__export__.pcb_fee_finger_1_61","金手指费",4.95,11,16,61,80
"__export__.pcb_fee_finger_1_62","金手指费",5.49,11,16,81,100
"__export__.pcb_fee_finger_1_63","金手指费",6.1,11,16,101,120
"__export__.pcb_fee_finger_1_64","金手指费",6.9,11,16,121,140
"__export__.pcb_fee_finger_1_65","金手指费",7.87,11,16,141,160
"__export__.pcb_fee_finger_1_66","金手指费",8.85,11,16,161,180
"__export__.pcb_fee_finger_1_67","金手指费",9.81,11,16,181,200
"__export__.pcb_fee_finger_1_68","金手指费",10.79,11,16,210,220
"__export__.pcb_fee_finger_1_69","金手指费",11.76,11,16,221,240
"__export__.pcb_fee_finger_1_70","金手指费",12.74,11,16,241,260
"__export__.pcb_fee_finger_1_71","金手指费",13.71,11,16,261,280
"__export__.pcb_fee_finger_1_72","金手指费",14.7,11,16,281,300
"__export__.pcb_fee_finger_1_73","金手指费",2.38,16,21,0,5
"__export__.pcb_fee_finger_1_74","金手指费",2.77,16,21,6,10
"__export__.pcb_fee_finger_1_75","金手指费",3.32,16,21,11,15
"__export__.pcb_fee_finger_1_76","金手指费",4.16,16,21,16,20
